Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
131,Entry long,2023-06-09 02:10," | F:70,15,3,0,0.96,0,1,52.64,1,0.73",1965.76,109,214267.84,-28.34,-0.01,0,0.00,-28.34,-0.01,304.8,0.00
132,Exit long,2023-06-09 13:20,Long Exit,1964.45,61,119694.2,137.25,0.11,137.25,0.11,-27.45,-0.02,442.05,0.00
132,Entry long,2023-06-09 13:00," | F:55,18,1,0,0.52,0,0,46.06,1,0.99",1962.2,61,119694.2,137.25,0.11,137.25,0.11,-27.45,-0.02,442.05,0.00
133,Exit long,2023-06-09 16:30,Long Exit,1961.98,27,53017.74,-44.28,-0.08,38.34,0.07,-44.28,-0.08,397.77,0.00
133,Entry long,2023-06-09 16:05," | F:75,36,2,0,0.39,0,1,44.83,1,1",1963.62,27,53017.74,-44.28,-0.08,38.34,0.07,-44.28,-0.08,397.77,0.00
134,Exit long,2023-06-13 04:50,Long Exit,1956.71,74,144832.06,-35.52,-0.02,16.28,0.01,-35.52,-0.02,362.25,0.00
134,Entry long,2023-06-13 04:45," | F:45,44,0,0,0.34,0,0,36.97,0,1.29",1957.19,74,144832.06,-35.52,-0.02,16.28,0.01,-35.52,-0.02,362.25,0.00
135,Exit long,2023-06-13 09:20,Long Exit,1960.78,67,131232.9,139.36,0.11,139.36,0.11,-14.74,-0.01,501.61,0.01
135,Entry long,2023-06-13 09:00," | F:65,38,0,0,0.92,0,0,35.71,0,2.97",1958.7,67,131232.9,139.36,0.11,139.36,0.11,-14.74,-0.01,501.61,0.01
136,Exit long,2023-06-15 03:45,Long Exit,1940.42,68,131985.28,-36.72,-0.03,6.8,0.01,-36.72,-0.03,464.89,0.00
