Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
37,Entry short,2023-03-24 20:30, | F:score=55 | F:fresh=9 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.61 | F:is_accuracy=0 | F:trend=1 | F:rsi=55.69 | F:htf_trend=0 | F:rvol=0 | F:adx=29.18 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=37.65 | F:liquidity_distance=93.4 | F:liquidity_spread=13.9 | F:return_strength=100,159.789,51465,8223540.885,-52.29,-0.08,22.81,0.04,-52.29,-0.08,136.17,0.00
38,Exit long,2023-03-29 19:45,Long Exit,163.257,130049,21238822.39,-56.61,-0.03,18.87,0.01,-56.61,-0.03,79.55,0.00
38,Entry long,2023-03-29 19:35, | F:score=80 | F:fresh=11 | F:session=2 | F:zone_type=0 | F:atr_ratio=1.38 | F:is_accuracy=1 | F:trend=1 | F:rsi=52.75 | F:htf_trend=1 | F:rvol=0 | F:adx=15.57 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=32.31 | F:liquidity_distance=93.2 | F:liquidity_spread=7.3 | F:return_strength=67.97,163.314,130049,21238822.39,-56.61,-0.03,18.87,0.01,-56.61,-0.03,79.55,0.00
39,Exit long,2023-04-03 14:45,Long Exit,164.432,63291,10414091.01,-52.88,-0.07,20.01,0.03,-52.88,-0.07,26.68,0.00
39,Entry long,2023-04-03 14:35, | F:score=70 | F:fresh=34 | F:session=1 | F:zone_type=0 | F:atr_ratio=0.95 | F:is_accuracy=0 | F:trend=1 | F:rsi=43.07 | F:htf_trend=1 | F:rvol=0 | F:adx=24.96 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=50 | F:liquidity_distance=87.2 | F:liquidity_spread=24.7 | F:return_strength=37.71,164.543,63291,10414091.01,-52.88,-0.07,20.01,0.03,-52.88,-0.07,26.68,0.00
40,Exit long,2023-04-03 17:15,Long Exit,164.219,16733,2751290.059,-25.69,-0.12,3.65,0.02,-25.69,-0.12,0.98,0.00
40,Entry long,2023-04-03 17:05, | F:score=70 | F:fresh=87 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.56 | F:is_accuracy=0 | F:trend=1 | F:rsi=38.23 | F:htf_trend=1 | F:rvol=0 | F:adx=19.83 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=35.8 | F:liquidity_distance=91.8 | F:liquidity_spread=24 | F:return_strength=100,164.423,16733,2751290.059,-25.69,-0.12,3.65,0.02,-25.69,-0.12,0.98,0.00
41,Exit long,2023-04-04 17:40,Long Exit,164.716,54911,9051639.062,-52.23,-0.08,56.79,0.08,-52.23,-0.08,-51.25,0.00
41,Entry long,2023-04-04 17:25, | F:score=75 | F:fresh=96 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.46 | F:is_accuracy=1 | F:trend=0 | F:rsi=14.07 | F:htf_trend=1 | F:rvol=0 | F:adx=60.21 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=37.57 | F:liquidity_distance=83.6 | F:liquidity_spread=14.9 | F:return_strength=100,164.842,54911,9051639.062,-52.23,-0.08,56.79,0.08,-52.23,-0.08,-51.25,0.00
42,Exit short,2023-04-06 09:55,Short Exit,163.722,50142,8202479.07,-52.31,-0.08,0,0.00,-52.31,-0.08,-103.56,0.00
42,Entry short,2023-04-06 09:45, | F:score=65 | F:fresh=216 | F:session=0 | F:zone_type=1 | F:atr_ratio=1.35 | F:is_accuracy=0 | F:trend=1 | F:rsi=65.82 | F:htf_trend=0 | F:rvol=0 | F:adx=44.1 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=50 | F:liquidity_distance=97 | F:liquidity_spread=31.2 | F:return_strength=59.05,163.585,50142,8202479.07,-52.31,-0.08,0,0.00,-52.31,-0.08,-103.56,0.00
