Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
249,Exit short,2024-06-27 09:40,Short Exit,160.478,195652,31388646.01,-57.15,-0.03,136.19,0.07,-57.15,-0.03,-8732.1,-0.09
249,Entry short,2024-06-27 08:30, | F:score=70 | F:fresh=29 | F:session=0 | F:zone_type=1 | F:atr_ratio=0.52 | F:is_accuracy=0 | F:trend=0 | F:rsi=56.97 | F:htf_trend=1 | F:rvol=0 | F:adx=28.37 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=36.11 | F:liquidity_distance=95.4 | F:liquidity_spread=4.3 | F:return_strength=21.93,160.431,195652,31388646.01,-57.15,-0.03,136.19,0.07,-57.15,-0.03,-8732.1,-0.09
250,Exit long,2024-06-27 15:55,Long Exit,160.318,25717,4127064.16,-25.89,-0.10,4,0.02,-25.89,-0.10,-8757.99,-0.09
250,Entry long,2024-06-27 15:30, | F:score=75 | F:fresh=73 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.87 | F:is_accuracy=1 | F:trend=0 | F:rsi=48.13 | F:htf_trend=1 | F:rvol=0 | F:adx=20.94 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=49.7 | F:liquidity_distance=94.2 | F:liquidity_spread=10.3 | F:return_strength=22.31,160.48,25717,4127064.16,-25.89,-0.10,4,0.02,-25.89,-0.10,-8757.99,-0.09
251,Exit long,2024-06-27 20:05,Time Stop (Bars),160.687,60811,9762780.373,54.42,0.09,72.94,0.12,-21.54,-0.04,-8703.57,-0.09
251,Entry long,2024-06-27 17:05, | F:score=75 | F:fresh=8 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.79 | F:is_accuracy=0 | F:trend=1 | F:rsi=60.08 | F:htf_trend=1 | F:rvol=0 | F:adx=26.28 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=43.98 | F:liquidity_distance=93.6 | F:liquidity_spread=5.8 | F:return_strength=100,160.543,60811,9762780.373,54.42,0.09,72.94,0.12,-21.54,-0.04,-8703.57,-0.09
252,Exit long,2024-06-27 21:55,Long Exit,160.806,211439,33977190.1,145.86,0.07,145.86,0.07,-30.22,-0.01,-8557.7,-0.09
252,Entry long,2024-06-27 20:10, | F:score=70 | F:fresh=18 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.7 | F:is_accuracy=0 | F:trend=1 | F:rsi=54.87 | F:htf_trend=1 | F:rvol=0 | F:adx=18.07 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=50 | F:liquidity_distance=99.8 | F:liquidity_spread=4.8 | F:return_strength=36.67,160.695,211439,33977190.1,145.86,0.07,145.86,0.07,-30.22,-0.01,-8557.7,-0.09
253,Exit long,2024-06-28 15:30,Long Exit,160.564,297396,47760905.41,-61.03,-0.02,112.82,0.04,-61.03,-0.02,-8618.74,-0.09
253,Entry long,2024-06-28 15:20, | F:score=45 | F:fresh=12 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.96 | F:is_accuracy=0 | F:trend=0 | F:rsi=46.02 | F:htf_trend=1 | F:rvol=0 | F:adx=25.51 | F:touch_count=1 | F:base_quality=40 | F:departure_strength=50 | F:liquidity_distance=98.4 | F:liquidity_spread=6.4 | F:return_strength=41.21,160.597,297396,47760905.41,-61.03,-0.02,112.82,0.04,-61.03,-0.02,-8618.74,-0.09
254,Exit short,2024-06-28 17:05,Short Exit,160.498,138332,22197167.72,-30.11,-0.02,0,0.00,-30.11,-0.02,-8648.85,-0.09
254,Entry short,2024-06-28 17:00, | F:score=70 | F:fresh=13 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.85 | F:is_accuracy=0 | F:trend=0 | F:rsi=50.33 | F:htf_trend=1 | F:rvol=0 | F:adx=42.22 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=29.81 | F:liquidity_distance=94.4 | F:liquidity_spread=9.7 | F:return_strength=100,160.463,138332,22197167.72,-30.11,-0.02,0,0.00,-30.11,-0.02,-8648.85,-0.09
255,Exit long,2024-07-01 15:20,Long Exit,161.245,175115,28212777.65,146.85,0.08,146.85,0.08,-39.16,-0.02,-8501.99,-0.09
255,Entry long,2024-07-01 13:40, | F:score=75 | F:fresh=8 | F:session=1 | F:zone_type=0 | F:atr_ratio=1.01 | F:is_accuracy=0 | F:trend=1 | F:rsi=61.01 | F:htf_trend=1 | F:rvol=0 | F:adx=18.98 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=51.16 | F:liquidity_distance=96.8 | F:liquidity_spread=1.7 | F:return_strength=100,161.11,175115,28212777.65,146.85,0.08,146.85,0.08,-39.16,-0.02,-8501.99,-0.09
256,Exit short,2024-07-02 15:05,Short Exit,161.538,224511,36290631.57,145.9,0.06,145.9,0.06,-12.51,-0.01,-8356.1,-0.08
256,Entry short,2024-07-02 14:20, | F:score=60 | F:fresh=10 | F:session=1 | F:zone_type=1 | F:atr_ratio=0.9 | F:is_accuracy=1 | F:trend=1 | F:rsi=52.26 | F:htf_trend=1 | F:rvol=0 | F:adx=13.95 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=55.08 | F:liquidity_distance=94.6 | F:liquidity_spread=3 | F:return_strength=36.67,161.643,224511,36290631.57,145.9,0.06,145.9,0.06,-12.51,-0.01,-8356.1,-0.08
257,Exit short,2024-07-02 16:35,Short Exit,161.397,134610,21743418.69,109.97,0.08,109.97,0.08,-3.33,0.00,-8246.13,-0.08
257,Entry short,2024-07-02 16:05, | F:score=70 | F:fresh=9 | F:session=2 | F:zone_type=1 | F:atr_ratio=1.36 | F:is_accuracy=0 | F:trend=0 | F:rsi=42.77 | F:htf_trend=1 | F:rvol=0 | F:adx=25.74 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=55.4 | F:liquidity_distance=96.8 | F:liquidity_spread=5.3 | F:return_strength=100,161.529,134610,21743418.69,109.97,0.08,109.97,0.08,-3.33,0.00,-8246.13,-0.08
258,Exit long,2024-07-08 18:30,Long Exit,160.756,96715,15527689.96,123.24,0.13,123.24,0.13,-23.45,-0.02,-8122.88,-0.08
258,Entry long,2024-07-08 17:25, | F:score=50 | F:fresh=116 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.41 | F:is_accuracy=0 | F:trend=0 | F:rsi=34.94 | F:htf_trend=0 | F:rvol=0 | F:adx=31.63 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=58.54 | F:liquidity_distance=91.2 | F:liquidity_spread=16.1 | F:return_strength=36.67,160.551,96715,15527689.96,123.24,0.13,123.24,0.13,-23.45,-0.02,-8122.88,-0.08
259,Exit short,2024-07-11 15:30,Short Exit,161.306,86837,14027301.63,123.57,0.14,123.57,0.14,-3.22,0.00,-7999.31,-0.08
259,Entry short,2024-07-11 15:25, | F:score=80 | F:fresh=55 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.92 | F:is_accuracy=1 | F:trend=0 | F:rsi=45.23 | F:htf_trend=1 | F:rvol=0 | F:adx=14.48 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=60 | F:liquidity_distance=98.6 | F:liquidity_spread=4.9 | F:return_strength=61.4,161.536,86837,14027301.63,123.57,0.14,123.57,0.14,-3.22,0.00,-7999.31,-0.08
260,Exit short,2024-07-12 09:40,Short Exit,159.184,66832,10630231.09,-52.55,-0.08,42.88,0.06,-52.55,-0.08,-8051.86,-0.08
