Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
51,Exit long,2023-08-10 18:30,Time Stop (Bars),183.846,20230,3715542.95,25.47,0.10,81.91,0.32,-8.02,-0.03,-306.72,0.00
51,Entry long,2023-08-10 15:30," | F:75,55,2,0,0.86,0,1,60.99,1,0,13.15,0,80,39.06,87,24.1,50",183.665,20230,3715542.95,25.47,0.10,81.91,0.32,-8.02,-0.03,-306.72,0.00
52,Exit long,2023-08-15 13:30,Time Stop (Bars),185.02,45553,8427623.871,4.07,0.01,92.91,0.16,-43.48,-0.08,-302.66,0.00
52,Entry long,2023-08-15 10:30," | F:75,15,1,0,0.9,1,1,53,1,0,31.09,0,80,44.56,72.8,15.5,36.67",185.007,45553,8427623.871,4.07,0.01,92.91,0.16,-43.48,-0.08,-302.66,0.00
53,Exit long,2023-08-17 21:30,Long Exit,186.174,166157,30938101.09,-27.24,-0.01,1.14,0.00,-27.24,-0.01,-329.9,0.00
53,Entry long,2023-08-17 21:25," | F:80,33,2,0,0.47,1,1,35.09,1,0,22.79,0,40,50.12,86.8,12.5,36.67",186.198,166157,30938101.09,-27.24,-0.01,1.14,0.00,-27.24,-0.01,-329.9,0.00
54,Exit long,2023-08-18 14:20,Long Exit,184.798,61122,11301274.43,-41.47,-0.05,0.84,0.00,-41.47,-0.05,-371.37,0.00
54,Entry long,2023-08-18 14:10," | F:60,37,1,0,0.52,1,0,36.73,1,0,22.74,0,80,43.66,53.8,23.7,16.67",184.897,61122,11301274.43,-41.47,-0.05,0.84,0.00,-41.47,-0.05,-371.37,0.00
55,Exit long,2023-09-08 15:55,Long Exit,184.143,80118,14733139.37,135.92,0.14,135.92,0.14,-2.72,0.00,-235.45,0.00
55,Entry long,2023-09-08 14:30," | F:80,10,1,0,0.59,1,1,47.88,0,0,18.27,0,100,46.43,80.2,8.3,36.67",183.893,80118,14733139.37,135.92,0.14,135.92,0.14,-2.72,0.00,-235.45,0.00
56,Exit long,2023-09-11 14:20,Long Exit,183.706,109646,20147781.44,-34.86,-0.03,8.9,0.01,-34.86,-0.03,-270.31,0.00
56,Entry long,2023-09-11 14:15," | F:70,13,1,0,0.71,0,1,57.23,0,0,37.43,0,60,50,92.6,11.5,36.67",183.753,109646,20147781.44,-34.86,-0.03,8.9,0.01,-34.86,-0.03,-270.31,0.00
57,Exit long,2023-09-13 08:45,Long Exit,184.019,82791,15240829.61,-38.82,-0.04,0,0.00,-38.82,-0.04,-309.13,0.00
57,Entry long,2023-09-13 08:30," | F:75,18,0,0,0.53,1,1,52.69,1,0,20.8,0,80,47.32,97.8,5.4,50",184.088,82791,15240829.61,-38.82,-0.04,0,0.00,-38.82,-0.04,-309.13,0.00
58,Exit short,2023-09-13 16:20,Short Exit,184.185,61476,11316809.46,-41.78,-0.05,15.88,0.02,-41.78,-0.05,-350.91,0.00
58,Entry short,2023-09-13 16:10," | F:55,142,2,1,0.53,1,1,61.38,1,0,22.56,0,60,45.06,90.4,5.2,56.54",184.085,61476,11316809.46,-41.78,-0.05,15.88,0.02,-41.78,-0.05,-350.91,0.00
59,Exit long,2023-09-13 23:15,Time Stop (Bars),184.147,83655,15400216.26,31.27,0.03,71.06,0.07,-25.01,-0.02,-319.64,0.00
59,Entry long,2023-09-13 20:15," | F:75,7,2,0,0.5,0,1,47.4,1,0,12.62,0,80,46.54,94.6,7.1,36.67",184.092,83655,15400216.26,31.27,0.03,71.06,0.07,-25.01,-0.02,-319.64,0.00
60,Exit short,2023-09-14 15:15,Short Exit,183.531,59892,11007969.92,108.06,0.14,108.06,0.14,-38.59,-0.05,-211.58,0.00
60,Entry short,2023-09-14 15:10," | F:80,34,2,1,0.43,1,0,51.82,0,0,18.23,0,80,41.41,94.6,11.3,36.67",183.797,59892,11007969.92,108.06,0.14,108.06,0.14,-38.59,-0.05,-211.58,0.00
61,Exit long,2023-09-28 20:15,Long Exit,182.083,124366,22649909.02,-33.26,-0.02,9.98,0.01,-33.26,-0.02,-244.84,0.00
61,Entry long,2023-09-28 20:05," | F:75,29,2,0,1.45,0,1,40.37,1,0,18.44,0,100,50.69,81.6,9,21.21",182.123,124366,22649909.02,-33.26,-0.02,9.98,0.01,-33.26,-0.02,-244.84,0.00
62,Exit long,2023-09-29 16:30,Long Exit,182.618,30818,5634763.12,-45.81,-0.12,22.91,0.06,-45.81,-0.12,-290.65,0.00
62,Entry long,2023-09-29 15:35," | F:80,36,2,0,0.64,1,1,53.5,1,0,20.12,0,100,33.47,94.4,12.4,36.67",182.84,30818,5634763.12,-45.81,-0.12,22.91,0.06,-45.81,-0.12,-290.65,0.00
63,Exit long,2023-10-04 20:15,Long Exit,180.901,103420,18714159.26,-36.07,-0.03,3.47,0.00,-36.07,-0.03,-326.72,0.00
63,Entry long,2023-10-04 20:05," | F:80,13,2,0,0.44,1,1,57.36,0,0,31.58,0,60,43.02,93.4,9.4,36.67",180.953,103420,18714159.26,-36.07,-0.03,3.47,0.00,-36.07,-0.03,-326.72,0.00
64,Exit long,2023-10-09 13:20,Long Exit,181.584,102123,18549315.35,-36.25,-0.03,83.44,0.07,-36.25,-0.03,-362.97,0.00
64,Entry long,2023-10-09 12:45," | F:60,17,1,0,0.21,1,0,46.22,1,0,19.33,0,80,28.26,99.6,12.4,44.95",181.637,102123,18549315.35,-36.25,-0.03,83.44,0.07,-36.25,-0.03,-362.97,0.00
65,Exit long,2023-10-09 17:25,Long Exit,181.488,64644,11738251.45,-41.13,-0.05,0,0.00,-41.13,-0.05,-404.09,0.00
65,Entry long,2023-10-09 17:20," | F:55,21,2,0,1.07,1,0,41.5,1,0,24.58,0,80,48.18,72,10.6,36.67",181.583,64644,11738251.45,-41.13,-0.05,0,0.00,-41.13,-0.05,-404.09,0.00
66,Exit long,2023-10-23 16:40,Long Exit,182.212,66338,12093749.09,-41.16,-0.05,10.62,0.01,-41.16,-0.05,-445.25,0.00
