score,fresh,session,zone_type,atr_ratio,is_accuracy,trend,rsi,htf_trend,rvol,adx,touch_count,base_quality,departure_strength,liquidity_distance,liquidity_spread,liquidity_distance_score,liquidity_spread_score,return_strength,outcome
100,13,2,1,0.73,1,0,42.6,0,0.0,24.23,1,100,41.46,0.2,5.3,99.6,5.3,50.0,0
95,29,1,1,0.69,0,0,57.31,0,0.0,24.93,1,100,43.31,3.3,2.1,93.4,2.1,29.57,0
70,18,2,1,0.53,0,1,42.23,1,0.0,23.4,1,100,40.28,3.2,5.1,93.6,5.1,66.93,0
85,181,2,0,0.64,0,0,35.81,1,0.0,21.46,1,100,50.0,0.5,27.6,99.0,27.6,100.0,0
75,13,2,0,0.76,0,0,53.0,1,0.0,14.82,1,100,47.99,1.1,3.4,97.8,3.4,46.28,0
95,9,2,1,0.45,1,0,46.26,0,0.0,20.89,1,100,42.59,1.2,5.4,97.6,5.4,72.49,0
95,13,2,1,0.82,0,0,49.55,0,0.0,15.22,1,100,35.98,3.2,4.8,93.6,4.8,61.98,1
85,20,1,1,0.51,0,0,48.52,0,0.0,35.08,1,100,50.0,0.7,6.4,98.6,6.4,100.0,0
75,15,0,0,0.8,1,0,50.86,0,0.0,23.77,1,0,32.59,0.1,3.1,99.8,3.1,53.62,0
100,42,2,0,1.4,1,1,40.53,1,0.0,28.83,1,100,43.68,5.9,3.8,88.2,3.8,46.67,0
75,77,0,0,1.35,1,0,31.74,0,0.0,43.93,1,100,53.65,2.6,7.2,94.8,7.2,47.28,0
75,7,2,0,0.71,0,0,38.29,1,0.0,35.7,1,100,55.53,3.9,5.4,92.2,5.4,45.0,1
100,12,1,1,1.14,1,0,48.61,0,0.0,21.48,1,100,50.33,0.6,3.2,98.8,3.2,37.19,0
95,5,2,0,1.15,0,1,66.98,0,0.0,28.53,1,0,29.12,0.6,5.3,98.8,5.3,50.0,0
90,20,1,1,0.99,0,0,50.96,0,0.0,30.81,1,100,42.8,4.4,4.9,91.2,4.9,32.05,0
95,48,1,0,0.81,1,1,42.53,0,0.0,16.87,1,100,40.65,1.2,7.9,97.6,7.9,60.35,0
80,12,1,1,0.91,1,1,50.67,0,0.0,13.62,1,100,46.35,1.1,3.9,97.8,3.9,36.67,0
70,21,2,1,0.67,0,0,51.3,0,0.0,19.49,1,100,59.44,2.0,3.0,96.0,3.0,26.67,1
90,15,1,1,1.23,0,0,46.84,0,0.0,15.43,1,0,36.42,3.9,5.6,92.2,5.6,36.67,0
65,9,2,1,0.72,0,1,50.11,0,0.0,11.12,1,0,50.0,0.1,2.6,99.8,2.6,26.67,0
80,25,1,1,0.61,1,1,48.21,0,0.0,14.24,1,100,54.52,0.1,2.4,99.8,2.4,30.24,1
95,175,2,0,0.21,1,0,38.76,1,0.0,25.6,1,100,50.14,2.2,2.7,95.6,2.7,70.39,0
85,54,0,0,0.81,0,1,39.17,1,0.0,25.82,1,100,50.0,2.0,6.1,96.0,6.1,37.92,0
75,31,2,1,1.13,1,1,61.83,1,0.0,15.86,1,100,58.21,3.1,10.5,93.8,10.5,56.67,0
80,89,2,0,0.66,1,0,25.74,1,0.0,49.02,1,0,28.18,4.0,3.4,92.0,3.4,26.67,0
75,33,1,0,0.5,1,0,39.82,1,0.0,21.45,1,100,50.0,1.9,4.3,96.2,4.3,30.46,0
80,285,2,1,0.6,1,1,63.81,1,0.0,26.37,1,100,46.91,0.8,8.8,98.4,8.8,100.0,0
90,8,1,0,0.91,0,1,50.77,1,0.0,15.65,1,0,24.86,0.6,2.5,98.8,2.5,50.0,0
90,260,2,0,1.01,0,0,46.18,1,0.0,23.88,1,100,50.0,2.2,19.4,95.6,19.4,27.27,0
100,247,1,1,0.71,1,1,64.16,0,0.0,33.64,1,0,31.57,0.8,10.0,98.4,10.0,25.93,0
90,78,0,1,0.53,0,0,55.79,0,0.0,20.09,1,100,40.06,0.4,10.2,99.2,10.2,100.0,0
80,13,2,1,1.6,1,1,53.44,0,0.0,14.23,1,0,35.51,1.1,2.8,97.8,2.8,100.0,0
95,39,2,0,0.5,0,1,42.83,1,0.0,22.39,1,100,35.64,0.5,2.8,99.0,2.8,100.0,1
95,73,2,0,0.3,0,0,30.75,1,0.0,29.96,1,100,49.28,3.4,1.3,93.2,1.3,41.08,0
90,261,1,0,0.37,0,0,33.78,1,0.0,37.34,1,100,50.0,5.8,3.7,88.4,3.7,30.95,0
75,38,2,0,0.69,1,0,42.81,0,0.0,12.15,1,100,48.84,0.7,8.1,98.6,8.1,58.1,1
100,14,2,1,0.59,1,0,35.74,0,0.0,52.6,1,100,40.64,3.2,5.5,93.6,5.5,26.67,1
75,22,2,0,0.78,1,0,46.57,0,0.0,21.89,1,100,40.36,0.9,5.7,98.2,5.7,50.0,0
90,41,2,1,0.39,0,0,63.28,0,0.0,26.81,1,100,46.17,4.3,9.6,91.4,9.6,45.83,0
75,34,2,0,0.8,0,0,37.97,1,0.0,26.83,1,100,63.77,5.1,2.7,89.8,2.7,26.67,0
75,28,2,1,0.69,1,1,58.31,1,0.0,20.51,1,0,34.37,1.2,3.8,97.6,3.8,36.67,0
90,28,1,0,0.51,0,1,43.16,1,0.0,19.7,1,100,51.13,0.8,3.4,98.4,3.4,100.0,0
80,10,2,1,1.07,1,1,55.18,1,0.0,15.02,1,100,45.43,2.6,5.4,94.8,5.4,100.0,0
80,31,2,1,0.83,1,1,49.3,1,0.0,12.26,1,0,19.38,3.1,4.7,93.8,4.7,50.0,0
75,61,2,1,0.34,0,1,67.08,1,0.0,23.63,1,100,40.39,0.1,2.7,99.8,2.7,100.0,0
70,60,2,0,0.36,0,0,37.21,1,0.0,23.45,1,100,45.51,1.1,4.1,97.8,4.1,36.67,0
75,83,2,1,0.66,0,0,40.75,1,0.0,25.82,1,100,40.0,0.9,3.4,98.2,3.4,40.48,0
85,11,2,0,0.73,0,1,56.94,1,0.0,10.87,1,100,50.0,0.3,3.1,99.4,3.1,100.0,1
95,13,1,0,0.96,0,1,48.37,1,0.0,15.01,1,0,33.69,0.2,2.3,99.6,2.3,100.0,0
100,20,2,1,0.9,1,0,46.42,1,0.0,16.94,1,100,35.56,0.1,3.0,99.8,3.0,100.0,0
85,6,0,0,0.88,0,1,57.43,1,0.0,20.19,1,100,50.0,1.5,3.6,97.0,3.6,54.31,0
70,23,2,0,0.77,0,0,43.96,1,0.0,21.07,1,100,41.37,0.2,3.7,99.6,3.7,52.38,0
95,10,2,1,0.14,1,0,42.53,0,0.0,12.26,1,100,41.2,1.3,2.6,97.4,2.6,57.12,1
90,129,2,1,0.48,0,1,68.46,0,0.0,15.71,1,100,40.87,1.0,3.1,98.0,3.1,100.0,0
80,12,2,1,0.87,1,1,59.64,0,0.0,17.13,1,0,28.9,0.3,1.0,99.4,1.0,50.0,0
95,24,2,0,0.94,1,1,39.62,0,0.0,17.91,1,100,36.37,2.7,7.8,94.6,7.8,63.69,0
75,38,2,1,1.21,0,1,61.37,0,0.0,20.98,1,100,56.77,0.6,5.4,98.8,5.4,36.67,1
100,146,0,1,1.41,1,1,66.67,0,0.0,20.72,1,100,58.86,4.8,5.8,90.4,5.8,36.23,0
70,89,2,1,0.87,0,1,74.7,0,0.0,31.77,1,100,53.5,4.1,8.3,91.8,8.3,100.0,0
70,100,2,1,0.89,0,1,72.61,0,0.0,41.55,1,100,41.15,0.5,6.4,99.0,6.4,100.0,0
80,27,2,0,0.4,1,0,45.7,1,0.0,18.22,1,100,43.56,0.8,0.6,98.4,0.6,36.31,0
75,8,2,1,0.29,1,1,38.4,1,0.0,18.01,1,100,50.0,0.6,3.0,98.8,3.0,36.67,0
80,44,2,1,0.77,1,1,59.99,1,0.0,19.94,1,100,34.6,0.4,6.8,99.2,6.8,50.0,0
95,29,1,0,0.31,1,1,41.07,1,0.0,29.44,1,100,60.0,0.4,8.3,99.2,8.3,100.0,0
100,15,2,1,1.16,1,0,47.1,1,0.0,22.14,1,100,58.73,0.8,4.5,98.4,4.5,100.0,0
80,16,2,0,0.51,1,0,41.74,1,0.0,20.02,1,100,45.98,4.1,2.9,91.8,2.9,40.58,0
90,20,0,0,0.81,0,1,52.74,1,0.0,40.72,1,0,23.3,0.5,3.5,99.0,3.5,36.67,0
80,18,2,1,1.25,1,1,52.76,1,0.0,18.25,1,100,44.44,2.7,2.5,94.6,2.5,100.0,0
100,15,2,0,0.34,1,1,46.85,1,0.0,22.42,1,100,50.62,4.5,2.4,91.0,2.4,65.24,0
